epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,7459.99,1.35834,0.83407,0.88901,0.8622,0.69004,0.76672,0.56849,1.33412,0.7949,0.90378,6.99132e-05,6.99132e-05,6.99132e-05
180,7500.23,1.36049,0.84629,0.89313,0.8463,0.70381,0.77077,0.5784,1.31841,0.78857,0.90207,6.70026e-05,6.70026e-05,6.70026e-05
181,7540.49,1.35752,0.83736,0.89254,0.84649,0.69427,0.76586,0.56802,1.32749,0.79237,0.90308,6.4092e-05,6.4092e-05,6.4092e-05
182,7584.09,1.35578,0.84326,0.88768,0.86187,0.69471,0.76847,0.57233,1.33145,0.79143,0.90545,6.11814e-05,6.11814e-05,6.11814e-05
183,7626.92,1.35486,0.84981,0.89083,0.83672,0.7011,0.76701,0.57257,1.32132,0.78863,0.90249,5.82708e-05,5.82708e-05,5.82708e-05
184,7667.56,1.34257,0.83622,0.89322,0.83613,0.70605,0.76986,0.57172,1.32969,0.79314,0.90347,5.53602e-05,5.53602e-05,5.53602e-05
185,7709.95,1.33535,0.83862,0.89263,0.84078,0.70581,0.76959,0.57346,1.32491,0.78961,0.90286,5.24496e-05,5.24496e-05,5.24496e-05
186,7752.94,1.34692,0.83565,0.88889,0.83143,0.70498,0.76356,0.5684,1.33051,0.78943,0.90329,4.9539e-05,4.9539e-05,4.9539e-05
187,7793.65,1.34433,0.83408,0.89204,0.84623,0.70693,0.76596,0.56691,1.33348,0.7898,0.90474,4.66284e-05,4.66284e-05,4.66284e-05
188,7834.63,1.35234,0.83679,0.88839,0.85579,0.70123,0.76664,0.57055,1.33082,0.7862,0.90322,4.37178e-05,4.37178e-05,4.37178e-05
189,7877.92,1.3483,0.83856,0.88696,0.8599,0.70081,0.76856,0.57517,1.32068,0.78732,0.90252,4.08072e-05,4.08072e-05,4.08072e-05
190,7918.39,1.33764,0.83575,0.89212,0.87547,0.68951,0.76667,0.57347,1.32062,0.78565,0.90272,3.78966e-05,3.78966e-05,3.78966e-05
191,7960.52,1.37206,0.8646,0.89935,0.84864,0.69182,0.76167,0.56275,1.34271,0.80433,0.90778,3.4986e-05,3.4986e-05,3.4986e-05
192,7999.44,1.33963,0.83355,0.89416,0.84237,0.69278,0.75793,0.55772,1.34934,0.81466,0.90912,3.20754e-05,3.20754e-05,3.20754e-05
193,8039.41,1.34659,0.83139,0.88885,0.83523,0.69245,0.7586,0.55902,1.34733,0.81064,0.90799,2.91648e-05,2.91648e-05,2.91648e-05
194,8079,1.32804,0.8258,0.89212,0.83299,0.69383,0.76028,0.56062,1.34754,0.80929,0.90794,2.62542e-05,2.62542e-05,2.62542e-05
195,8118.71,1.35113,0.8369,0.89252,0.84215,0.69601,0.76303,0.56501,1.33857,0.80324,0.90538,2.33436e-05,2.33436e-05,2.33436e-05
196,8157.22,1.35671,0.84379,0.88878,0.85347,0.68656,0.76232,0.56362,1.33974,0.8073,0.90597,2.0433e-05,2.0433e-05,2.0433e-05
197,8195.89,1.33732,0.82435,0.88702,0.84326,0.69464,0.76448,0.56499,1.34003,0.80197,0.9058,1.75224e-05,1.75224e-05,1.75224e-05
198,8234.64,1.34066,0.82165,0.88586,0.85387,0.68937,0.76287,0.56396,1.33712,0.80064,0.90498,1.46118e-05,1.46118e-05,1.46118e-05
199,8273.56,1.32246,0.81507,0.88422,0.85372,0.68804,0.76226,0.56282,1.34098,0.80246,0.90547,1.17012e-05,1.17012e-05,1.17012e-05
200,8312.5,1.33352,0.81545,0.8867,0.85925,0.6857,0.76538,0.56613,1.33542,0.80029,0.90495,8.7906e-06,8.7906e-06,8.7906e-06
